"臓器","分類","カテゴリ","サブカテゴリ","疾患","UID","H28対応項目","修正案(20220318)","コメント(20220318)","重要(20220318)","診断","治療","教育","予防","作成時(20220316コメント)","修正案(20220316)","パフォーマンス"
"血液・造血器・リンパ系","疾患・病態","貧血","","鉄欠乏性貧血","JlvnlXM","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","A","B","A","","","","診断し基本的な治療ができることに必要な知識を理解している"
"血液・造血器・リンパ系","疾患・病態","貧血","二次性貧血","慢性疾患に伴う貧血","JlvnlXU","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","A","B","","","","","診断し基本的な治療ができる"
"血液・造血器・リンパ系","疾患・病態","貧血","造血不全症","発作性夜間ヘモグロビン尿症","JlvnlXY","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","C","C","","","","","疾患を想起し基本的に相談できる.."
"血液・造血器・リンパ系","疾患・病態","貧血","造血不全症","再生不良性貧血","JlvnlXg","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","C","C","","","","","疾患を想起し診断・治療ができるについて専門家に相談できる"
"血液・造血器・リンパ系","疾患・病態","貧血","造血不全症","赤芽球癆","JlvnlXk","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","C","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","造血不全症","骨髄異形成症候群","JlvnlXs","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","C","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","溶血性貧血","自己免疫性","JlvnlXw","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","溶血性貧血","薬剤誘発性","JlvnlX4","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","割愛候補：低頻度。すべての徴候に薬剤性の発送は必要。基礎疾患がない場合の病態の独立性に乏しい。生坂","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","","出血性貧血","JlvnlYA","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","A","B","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","","腎性貧血","JlvnlYE","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","巨赤芽球性貧血","ビタミンB12欠乏性貧血","JlvnlYM","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","A","A","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","巨赤芽球性貧血","葉酸欠乏性貧血","JlvnlYQ","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","A","A","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","遺伝性貧血","サラセミア","JlvnlYY","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","遺伝性貧血","遺伝性球状赤血球症","JlvnlYc","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","遺伝性貧血","鎌状赤血球症","JlvnlYk","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","","C","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","","免疫性血小板減少性紫斑病（ITP）","JlvnlYs","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","二次性血小板減少症","脾機能亢進症","JlvnlYw","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","","C","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","二次性血小板減少症","薬剤性","JlvnlY4","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","割愛候補：低頻度。上記同様に、すべての徴候で薬剤性を考えるのはマスト。EDTAを指すのであれば偽性血小板減少症との表記を検討。生坂","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","","血友病","JlvnlY8","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","","播種性血管内凝固（DIC）","JlvnlZE","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","","溶血性尿毒症症候群（HUS）","JlvnlZI","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","","血栓性血小板減少性紫斑病（TTP）","JlvnlZQ","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","","ビタミンK欠乏症","JlvnlZY","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","","von Willebrand病","JlvnlZc","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","","プロテインC・プロテインS・アンチトロンビン欠乏症","JlvnlZk","","","","","","","","","分割すべきか?","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","","抗リン脂質抗体症候群","JlvnlZo","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","","TTP","JlvnlZs","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","","HUS","JlvnlZw","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","","DIC","JlvnlZ0","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","","急性骨髄性白血病","JlvnlZ8","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","","急性リンパ性白血病","JlvnlaE","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","骨髄増殖性疾患","慢性骨髄性白血病","JlvnlaI","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
